date,torque_pct,water_temp_c,days_since_clean,actual_speed_knots
2024-01-01,79.36350297118406,17.776993932579295,0,19.75307748412036
2024-01-02,93.7678576602479,23.12851421067537,1,23.336147865447312
2024-01-03,88.29984854528513,28.094187538146123,2,21.97285188505053
2024-01-04,84.96646210492591,25.98337329614342,3,21.14333850881025
2024-01-05,73.90046601106091,27.098417217921746,4,18.34968762764518
2024-01-06,73.89986300840506,24.88175050066076,5,18.116461429439898
2024-01-07,71.45209030420499,25.384148467767787,6,17.6392221651407
2024-01-08,91.65440364437337,27.73793477347979,7,22.372774809936978
2024-01-09,85.02787529358022,18.745020132887788,8,20.830680706778026
2024-01-10,87.70181444490115,22.34137445464711,9,21.247515333035032
2024-01-11,70.51461235739507,18.318141627294033,10,16.806958562883548
2024-01-12,94.24774630404985,29.815020119949708,11,22.562603532246097
2024-01-13,90.81106602001054,29.160890095299198,12,21.564255456976113
2024-01-14,75.3084777669569,15.591402170527589,13,18.068183886258574
2024-01-15,74.54562418017751,25.58362758773533,14,17.302952748749135
2024-01-16,74.58511274633585,28.878724761234988,15,17.020169807454813
2024-01-17,77.60605607398844,17.708630176910003,16,18.111907101486217
2024-01-18,83.11891079080594,23.519178458289442,17,19.078297460775115
2024-01-19,80.7986254660529,28.73232446382063,18,18.084866115972478
2024-01-20,77.28072850495104,15.509189678786983,19,17.91029636430614
2024-01-21,85.29632236805949,25.461304008702598,20,19.07610812286166
2024-01-22,73.48734651630105,19.46023511058826,21,16.363440439458852
2024-01-23,77.30361621338045,28.865942930647954,22,16.39389503141882
2024-01-24,79.15904608234229,29.565873677480518,23,16.524959545430736
2024-01-25,81.40174960542589,29.16399733670151,24,16.75995242769522
2024-01-26,89.62939903482534,22.113213249861957,25,19.75967203791931
2024-01-27,74.991844553959,27.930639764839704,26,14.97161117392069
2024-01-28,82.8558609603403,27.668240978026056,27,16.751193266853605
2024-01-29,84.81036422155105,19.786507098648833,28,18.291038057643075
2024-01-30,71.16126031799995,27.43373211226016,29,13.620858922163182
2024-01-31,85.18862129753596,15.555114520732388,30,18.639607010211762
2024-02-01,74.26310309218229,23.944048177230798,31,14.439184395595175
