date,torque_pct,water_temp_c,days_since_clean,actual_speed_knots,predicted_speed,efficiency_loss
2024-01-01,79.36350297118406,17.776993932579295,0,19.75307748412036,19.110000907361336,0.0
2024-01-02,93.7678576602479,23.12851421067537,1,23.336147865447312,22.76256725737728,0.0
2024-01-03,88.29984854528513,28.094187538146123,2,21.97285188505053,21.08168747775582,0.0
2024-01-04,84.96646210492591,25.98337329614342,3,21.14333850881025,20.76017897285036,0.0
2024-01-05,73.90046601106091,27.098417217921742,4,18.34968762764518,18.247942636841948,0.0
2024-01-06,73.89986300840506,24.88175050066076,5,18.116461429439894,17.89261817849508,0.0
2024-01-07,71.45209030420499,25.384148467767787,6,17.6392221651407,17.167928389032294,0.0
2024-01-08,91.65440364437336,27.73793477347979,7,22.372774809936978,21.841694536266054,0.0
2024-01-09,85.02787529358022,18.745020132887788,8,20.830680706778026,20.68636581241174,0.0
2024-01-10,87.70181444490115,22.34137445464711,9,21.247515333035032,20.999332022053242,0.0
2024-01-11,70.51461235739507,18.318141627294036,10,16.806958562883548,16.869347089050237,0.369833674281236
2024-01-12,94.24774630404984,29.815020119949708,11,22.562603532246097,22.003084336015853,0.0
2024-01-13,90.81106602001054,29.1608900952992,12,21.564255456976117,21.249520235190122,0.0
2024-01-14,75.3084777669569,15.591402170527587,13,18.068183886258574,17.96635020565709,0.0
2024-01-15,74.54562418017751,25.58362758773533,14,17.302952748749135,17.45032197721938,0.8445072169019605
2024-01-16,74.58511274633585,28.878724761234988,15,17.020169807454813,16.81898124430697,0.0
2024-01-17,77.60605607398844,17.708630176910003,16,18.111907101486217,18.30225047646942,1.0399998362382918
2024-01-18,83.11891079080594,23.51917845828944,17,19.078297460775115,19.002236027063333,0.0
2024-01-19,80.7986254660529,28.73232446382063,18,18.08486611597248,18.084547059626335,0.0
2024-01-20,77.28072850495104,15.509189678786983,19,17.91029636430614,18.023508319097324,0.6281349490167004
2024-01-21,85.29632236805949,25.4613040087026,20,19.07610812286166,19.77434857412861,3.5310414836141844
2024-01-22,73.48734651630105,19.46023511058826,21,16.363440439458852,16.897111177349963,3.1583548944536703
2024-01-23,77.30361621338045,28.865942930647957,22,16.39389503141882,16.602244125971573,1.2549453734801188
2024-01-24,79.15904608234229,29.56587367748052,23,16.524959545430736,16.58218503955003,0.3451022527055737
2024-01-25,81.40174960542589,29.16399733670151,24,16.75995242769522,17.26974762732068,2.9519551219090414
2024-01-26,89.62939903482534,22.11321324986196,25,19.75967203791931,20.002934828302937,1.2161354944746725
2024-01-27,74.991844553959,27.930639764839704,26,14.97161117392069,15.33924166020122,2.3966666307525033
2024-01-28,82.8558609603403,27.668240978026056,27,16.751193266853605,17.497802548020264,4.266874535346337
2024-01-29,84.81036422155105,19.786507098648837,28,18.291038057643075,19.05201967666754,3.99423070067694
2024-01-30,71.16126031799995,27.43373211226016,29,13.620858922163182,15.034676899106461,9.403713737455215
2024-01-31,85.18862129753596,15.555114520732388,30,18.63960701021176,20.416296339277014,8.702309662537806
2024-02-01,74.26310309218229,23.9440481772308,31,14.439184395595175,16.954321873100547,14.83478664809265
2024-02-02,71.62628982463198,18.450132559315545,32,14.609623361491474,17.05562358859578,14.341312203558596
2024-02-03,93.72213843133332,16.80850328665918,33,20.31344766444277,22.844980037438223,11.081350777487188
2024-02-04,94.14080082686398,16.154298024438138,34,20.350216583276943,22.493191647293482,9.527216491192771
2024-02-05,90.20993370291151,25.44433163817209,35,17.247206281852034,21.168070467962142,18.522539369114128
2024-02-06,77.61534422933427,20.098124456520992,36,14.979882152660162,18.64699038792113,19.665952301001838
2024-02-07,72.4418028501596,25.87150157293142,37,12.296367687140526,17.623429819509173,30.227158884087242
2024-02-08,87.10582566280392,15.980345111984136,38,17.92588291363993,20.728517089565447,13.520668959654314
2024-02-09,81.00381234349004,19.729355067459156,39,15.153636504190075,18.636155435093627,18.686895712114758
2024-02-10,73.05095587111947,23.092369385630057,40,12.464436241912903,16.702388076431756,25.373328742725725
2024-02-11,82.37942275278175,26.860847472584453,41,13.633522089226668,18.06775522107636,24.54224710038733
2024-02-12,70.85971302788046,19.781287543981048,42,12.094344412782098,16.636741898430063,27.30340780292211
2024-02-13,92.73301005196956,24.38837064655514,43,16.205494069946297,22.358742554089876,27.520548032867897
2024-02-14,76.46949954000043,28.28966622354281,44,10.922583980007015,16.144781013111,32.34603819564413
2024-02-15,86.56305710884955,24.23794782273457,45,14.529824463675345,20.479253497291516,29.05100537186579
2024-02-16,77.79277690223527,18.494392121304507,46,13.680260366942392,18.4044796478017,25.668855470323425
2024-02-17,83.00170052944527,15.36601172334807,47,15.72645359707199,19.950760167814963,21.173662232468338
2024-02-18,83.667756983582,28.05148310851395,48,11.570023559236605,18.25943397988168,36.63536574033728
2024-02-19,74.62136138813818,15.319041162755807,49,13.538396870124124,18.240857908061827,25.779823852799037
2024-02-20,94.23961569411397,28.12052509026299,50,13.553200514690332,22.278548098441775,39.164794515319954
2024-02-21,89.37832058402786,22.934057010408186,51,13.911782682828417,19.96158516279017,30.30722475507115
2024-02-22,93.48747353910473,29.086015477693444,52,12.416997531366633,22.17168585788552,43.996150716926934
2024-02-23,92.37068376069122,26.981748536604982,53,12.586543078721776,21.795281134714124,42.25106342549195
2024-02-24,84.94749947027712,29.969011658000063,54,9.356918460634216,19.993758983333137,53.20080396870757
2024-02-25,93.04685587557792,20.26067723177565,55,15.160035603880887,22.43712663924859,32.433257396863404
2024-02-26,72.21231255129798,26.5078243339669,56,6.97686803176885,17.42795619432537,59.96737681702141
